imdbid,role,talentid
3442006,actor,0056770
1029120,actor,0056770
0464154,actor,0000223
0114788,actor,0000223
1629757,actor,0000223
0143746,actor,0000223
0418647,actor,0000223
1582507,actor,0000223
0382077,actor,0000223
0120053,actor,0000223
0441007,actor,0000223
1104733,actor,0000223
0117965,actor,0000223
0113627,actor,0000223
0164052,actor,0000223
1586752,actor,0788335
1105512,actor,0788335
1675192,actor,0788335
1491044,actor,0788335
1547234,actor,0788335
0470705,actor,0788335
0770828,actor,0788335
1017451,actor,0788335
0276033,actor,0005286
0167404,actor,0005286
0115725,actor,0005286
0212720,actor,0005286
0283426,actor,0005286
3099498,actor,0005286
0223897,actor,0005286
0327137,actor,0005286
0112442,actor,0000226
0119654,actor,0000226
0386588,actor,0000226
0454921,actor,0000226
0248667,actor,0000226
0146984,actor,0000226
0120891,actor,0000226
0172156,actor,0000226
2381941,actor,0000226
0120660,actor,0000226
1815862,actor,0000226
1409024,actor,0000226
0343818,actor,0000226
0120912,actor,0000226
0814314,actor,0000226
0307453,actor,0000226
0480249,actor,0000226
0116629,actor,0000226
0448157,actor,0000226
0110189,actor,0382676
0455915,actor,0502425
0873886,actor,0502425
1699147,actor,0502425
1244754,actor,0502425
1183923,actor,0502425
0964517,actor,0502425
0325980,actor,0000136
0479468,actor,0000136
1077368,actor,0000136
0120669,actor,0000136
1298650,actor,0000136
0112817,actor,0000136
0142688,actor,0000136
0376136,actor,0000136
0120681,actor,0000136
0308644,actor,0000136
1152836,actor,0000136
2209764,actor,0000136
0383574,actor,0000136
0138304,actor,0000136
0363988,actor,0000136
1192628,actor,0000136
0162661,actor,0000136
0119008,actor,0000136
0367594,actor,0000136
0408236,actor,0000136
0449088,actor,0000136
1014759,actor,0000136
3099498,actor,0000136
0285823,actor,0000136
0221027,actor,0000136
1210819,actor,0000136
1243957,actor,0000136
0121164,actor,0000136
3045616,actor,0000136
0122933,actor,0000134
1219289,actor,0000134
0289848,actor,0000134
0155711,actor,0000134
0343737,actor,0000134
0112641,actor,0000134
0356443,actor,0000134
1423995,actor,0000134
0116999,actor,0000134
0116277,actor,0000134
0780511,actor,0000134
2404311,actor,0000134
0131704,actor,0000134
1448755,actor,0000134
0113277,actor,0000134
0118887,actor,0000134
0179626,actor,0000134
0307453,actor,0000134
0486674,actor,0000134
0227445,actor,0000134
1045658,actor,0000134
0269095,actor,0000134
0382077,actor,0000134
0120885,actor,0000134
0117665,actor,0000134
0212338,actor,0000134
1748179,actor,0000134
1034331,actor,0000134
1204975,actor,0000134
0284490,actor,0000134
0985694,actor,0000134
0122690,actor,0000134
1931435,actor,0000134
0203019,actor,0000134
0335121,actor,0000134
1661382,actor,0000134
0970866,actor,0000134
0290002,actor,0000134
0112760,actor,0000133
0164912,actor,0000133
0243585,actor,0000133
0116908,actor,0000133
1399683,actor,0370035
0415978,actor,0370035
0309698,actor,0370035
0180734,actor,0370035
0494652,actor,0001923
0114928,actor,0001923
1655442,actor,0067367
2070776,actor,0067367
0414387,actor,0461136
0494834,actor,0461136
0366627,actor,0461136
0783233,actor,0461136
0449088,actor,0461136
0421054,actor,0461136
1205537,actor,0461136
0325980,actor,0461136
1334260,actor,0461136
0864761,actor,0461136
0349683,actor,0461136
1307068,actor,0461136
0383574,actor,0461136
0286499,actor,0461136
1213648,actor,0461136
2084970,actor,0461136
0117381,actor,0005569
0388500,actor,0005569
1152397,actor,0005569
0446046,actor,0005569
0316465,actor,0005569
1142798,actor,0005569
0140397,actor,0005569
3322940,actor,0005569
0272152,actor,0005569
0130623,actor,0005569
0199725,actor,0005569
0120133,actor,0002039
0329575,actor,0177933
0268126,actor,0177933
0113845,actor,0177933
0132477,actor,0177933
1403981,actor,0177933
0804505,actor,0177933
1322269,actor,0177933
1172991,actor,0177933
0116905,actor,0177933
0401997,actor,0177933
0119223,actor,0177933
0431197,actor,0177933
1204342,actor,0177933
0376890,actor,0177933
0187393,actor,0177933
1562847,actor,0177933
0258463,actor,0177933
0264796,actor,0005460
0319343,actor,0005460
1007018,actor,0005460
1204975,actor,0005460
